category,item,action,complexity,difficulty,human_min,human_max,ai_min,ai_max,risk,notes
api,api/http.js,replace,M,3,12,24,7,17,medium,Typed client + interceptors
api,api/urls.js,replace,S,2,4,8,2,6,low,Env config
api,LocalRepo/RemoteRepo/repo.js,replace,M,3,12,24,7,17,medium,Repository -> hooks
api,db.js/dbconfig.js,refactor,M,3,12,24,7,17,medium,Cache strategy
api,products domain,replace,L,4,32,64,19,45,medium,DTOs + queries
api,categories domain,replace,M,3,12,24,7,17,low,Simple lists
api,brands domain,replace,M,3,12,24,7,17,low,Simple lists
api,feature-tags domain,replace,M,3,12,24,7,17,low,Tagging
api,articles domain,refactor,M,3,12,24,7,17,low,Move to CMS
api,rfid domain,refactor/port,L,4,32,64,19,45,high,Hardware abstraction
api,messaging (fb),refactor,M,3,12,24,7,17,medium,Align with PWA
